
Results_All_Set_Multipartite_DEG_Level
The matrix size 42 X 1856,classifier,tr_precision_avg_as,tr_precision_stdev_as,tr_recall_avg_as,tr_recall_stdev_as,tr_f1_avg_as,tr_f1_stdev_as,te_precision_avg_as,te_precision_stdev_as,te_recall_avg_as,te_recall_stdev_as,te_f1_avg_as,te_f1_stdev_as,Tf_CV_Avg_as,Tf_CV_stdev_as,au_ROC_avg_as,au_ROC_stdev_as,au_PR_avg_as,au_PR_stdev_as
1,gNB,0.839,0.014,0.762,0.03,0.747,0.035,0.766,0.247,0.757,0.172,0.714,0.214,0.752,0.022,0.757,0.172,0.876,0.101
2,SVM,0.839,0.014,0.762,0.03,0.747,0.035,0.666,0.306,0.708,0.204,0.638,0.263,0.706,0.033,0.757,0.172,0.876,0.101
3,DT,0.839,0.014,0.762,0.03,0.747,0.035,0.62,0.265,0.618,0.122,0.528,0.175,0.65,0.018,0.618,0.122,0.808,0.077
4,RF,0.839,0.014,0.762,0.03,0.747,0.035,0.629,0.271,0.639,0.133,0.558,0.19,0.696,0.01,0.757,0.172,0.876,0.101
5,KNN,0.809,0.011,0.69,0.031,0.656,0.04,0.629,0.271,0.639,0.133,0.558,0.19,0.617,0.028,0.639,0.133,0.817,0.085
6,LDA,0.839,0.014,0.762,0.03,0.747,0.035,0.62,0.265,0.618,0.122,0.528,0.175,0.624,0.03,0.479,0.117,0.711,0.081
7,mNB,0.519,0.315,0.537,0.145,0.462,0.185,0.17,0.086,0.389,0.202,0.237,0.12,0.438,0.156,0.243,0.172,0.534,0.16
8,ABC,0.839,0.014,0.762,0.03,0.747,0.035,0.62,0.265,0.618,0.122,0.528,0.175,0.65,0.018,0.618,0.122,0.808,0.077
9,GBC,0.839,0.014,0.762,0.03,0.747,0.035,0.629,0.271,0.639,0.133,0.558,0.19,0.664,0.018,0.639,0.133,0.817,0.085
10,ETC,0.839,0.014,0.762,0.03,0.747,0.035,0.645,0.293,0.667,0.188,0.584,0.241,0.699,0.018,0.736,0.162,0.867,0.096
11,BC,0.839,0.014,0.762,0.03,0.747,0.035,0.62,0.265,0.618,0.122,0.528,0.175,0.652,0.01,0.688,0.19,0.842,0.112

Random Gene Level Multipartite
,classifier,tr_precision_avg_rs,tr_precision_stdev_rs,tr_recall_avg_rs,tr_recall_stdev_rs,tr_f1_avg_rs,tr_f1_stdev_rs,te_precision_avg_rs,te_precision_stdev_rs,te_recall_avg_rs,te_recall_stdev_rs,te_f1_avg_rs,te_f1_stdev_rs,Tf_CV_Avg_rs,Tf_CV_stdev_rs,au_ROC_avg_rs,au_ROC_stdev_rs,au_PR_avg_rs,au_PR_stdev_rs
0,LogR,0.771,0.133,0.836,0.217,0.743,0.106,0.51,0.193,0.76,0.328,0.588,0.242,0.606,0.112,,,,
1,gNB,0.854,0.123,0.688,0.275,0.683,0.152,0.384,0.28,0.54,0.405,0.43,0.322,0.605,0.106,,,,
2,SVM,0.774,0.133,0.84,0.216,0.75,0.105,0.573,0.164,0.76,0.202,0.62,0.155,0.606,0.126,,,,
3,DT,0.812,0.128,0.775,0.255,0.723,0.137,0.458,0.241,0.67,0.375,0.523,0.288,0.608,0.11,,,,
4,RF,0.812,0.128,0.775,0.255,0.723,0.137,0.458,0.241,0.67,0.375,0.523,0.288,0.609,0.11,,,,
5,KNN,0.658,0.219,0.738,0.379,0.609,0.239,0.428,0.261,0.695,0.426,0.516,0.316,0.586,0.083,,,,
6,LDA,0.8,0.128,0.796,0.245,0.731,0.131,0.486,0.209,0.71,0.356,0.554,0.264,0.608,0.11,,,,
7,mNB,0.917,0.153,0.371,0.11,0.481,0.133,0.289,0.124,0.268,0.095,0.257,0.104,0.528,0.05,,,,
8,ABC,0.778,0.131,0.832,0.22,0.747,0.11,0.468,0.228,0.69,0.358,0.536,0.274,0.612,0.106,,,,
9,GBC,0.787,0.131,0.817,0.234,0.739,0.122,0.493,0.203,0.74,0.338,0.57,0.25,0.611,0.109,,,,
10,ETC,0.812,0.128,0.775,0.255,0.723,0.137,0.461,0.245,0.67,0.375,0.525,0.291,0.609,0.113,,,,
11,BC,0.794,0.114,0.8,0.227,0.73,0.127,0.475,0.215,0.7,0.341,0.545,0.26,0.612,0.106,,,,
